Z-values represent standard deviations from the median across samples for the given cancer type. Log2 Spectral count ratio values from CPTAC were first normalized within each sample profile, then normalized across samples.

http://ualcan.path.uab.edu/cgi-bin/CPTAC-Result.pl?genenam=HHLA2&ctype=RCC

Comparison 	Statistical significance
Normal-vs-Stage1 	3.03859134021604E-10
Normal-vs-Stage2 	7.288328E-03
Normal-vs-Stage3 	8.02087087347181E-07
Normal-vs-Stage4 	4.125111E-02
Stage1-vs-Stage2 	9.996720E-01
Stage1-vs-Stage3 	7.737087E-01
Stage1-vs-Stage4 	1.489417E-02
Stage2-vs-Stage3 	8.719405E-01
Stage2-vs-Stage4 	1.007489E-01
Stage3-vs-Stage4 	2.889503E-02
